Title,imdbID
Robot Chicken - Star Wars: Episode II,tt1334272
Home,tt1014762
The Terror Room,tt10131024
Der Moment der Wahrheit,tt3859076
This Boy's Life,tt0108330
Nachtzug nach Lissabon,tt1654523
Robot Chicken - Star Wars: Episode I,tt1020990
Clerks 3,tt11128440
Im Westen nichts Neues,tt1016150
Terrifier - Ein wirklich böser Clown,tt4281724
Endless Love,tt2318092
My Name Is Bruce,tt0489235
Candy - Reise der Engel,tt0424880
Der Medicus,tt2101473
The Good Nurse,tt4273800
Session 9,tt0261983
Burlesque,tt1126591
Moloch,tt14412446
Ticket ins Paradies,tt14109724
Don't Worry Darling,tt10731256
Mortal Kombat Legends: Schneeblind,tt21477618
Payback - Zahltag,tt0958860
"Men: Was dich sucht, wird dich finden",tt13841850
Dolls,tt0330229
Street Kings,tt0421073
Raymond & Ray,tt15334032
8 Frauen,tt0283832
The School for Good and Evil,tt2935622
Paris-Manhattan,tt1885331
Barbarian,tt15791034
Pearl,tt18925334
Legacy - Das Erbe der Menschheit,tt13983714
Rififi am Karfreitag,tt0081070
Parker,tt1904996
Brassed Off - Mit Pauken und Trompeten,tt0115744
Entergalactic,tt10687116
DC League of Super-Pets,tt8912936
Halloween Ends,tt10665342
Mitten ins Herz,tt0758766
Visioneers - Wer wird denn gleich in die Luft gehen,tt0833557
Clown,tt1780798
Himizu - Dein Schicksal ist vorbestimmt,tt1900893
Doc Hollywood,tt0101745
Following,tt0154506
Robot Chicken - Star Wars: Episode III,tt1691338
Solitary Man,tt1294213
Wer ist Daddy?,tt1966359
Maggies Plan,tt3471098
Ray Donovan: The Movie,tt14124268
Love,tt3774694
Oh Boy,tt1954701
Gimme Shelter,tt1657510
Red Rocket,tt13453006
The Score,tt0227445
Penelope,tt0472160
Werewolf by Night,tt15318872
Sunshine Cleaning,tt0862846
Love & Friendship,tt3068194
Hellraiser: Judgment,tt5476182
Die Kunst zu gewinnen - Moneyball,tt1210166
Smile - Siehst du es auch?,tt15474916
Ich. Bin. So. Glücklich.,tt4595186
Firebird,tt4061620
Der Beste Film aller Zeiten,tt11700260
Gemma Bovery - Ein Sommer mit Flaubert,tt2788556
Athena,tt15445056
Studio 666,tt15374070
Eyes Wide Shut,tt0120663
You Won't Be Alone,tt8296030
Juniper,tt11599576
Live by Night,tt2361317
Lieber verliebt,tt1205535
Life Partners,tt2870808
Nacht und Nebel,tt0048434
The Greatest Beer Run Ever,tt10268488
Hocus Pocus 2,tt11909878
Liebe und Eis,tt0104040
Nathalie küsst,tt1828995
Unstoppable,tt9225192
On the Job - Showdown in Manila,tt2717558
Hatching,tt12519030
Being Charlie - Zurück ins Leben,tt4630444
Blond,tt1655389
Zero Fucks Given,tt13482806
Ben X,tt0953318
Die Farbe des Geldes,tt0090863
City of Lies,tt2677722
Flirting with Disaster - Ein Unheil kommt selten allein,tt0116324
"New York, New York",tt0076451
Niagara,tt0046126
Election,tt0434008
Bullet Train,tt12593682
"Hilfe, die Amis kommen!",tt0089670
Bodies Bodies Bodies,tt8110652
Hilde,tt0809432
Berserk - Das goldene Zeitalter,tt2210479
Holy Motors,tt2076220
Violet Evergarden und das Band der Freundschaft,tt10477558
Kidnapping Freddy Heineken,tt2917388
Was für ein Genie!,tt0089886
Kicking Off - Anstoß zur 3. Halbzeit,tt2643308
Feed The Fish,tt1354687
Out of this World,tt12128038
Der Kontrakt des Zeichners,tt0083851
9½ Wochen,tt0091635
Father Stu,tt14439896
Under Your Bed,tt9855728
Oktober November,tt3121050
Sadistico,tt0067588
Fesseln der Macht,tt0083232
African Queen,tt0043265
Spiel auf Zeit,tt0120832
Agent Cody Banks,tt0313911
Das Cabinet des Dr. Caligari,tt0010323
Sundown - Geheimnisse in Acapulco,tt15115280
Karate Tiger 3 - Der Kickboxer,tt0097659
Embattled,tt6539992
Project Almanac,tt2436386
Das Zimmer meines Sohnes,tt0208990
Do Revenge,tt13327038
"Meine beste Freundin, ihre Schwester und ich",tt1742336
Der Gesang der Flusskrebse,tt9411972
Kirschblüten - Hanami,tt0910559
Faces in the Crowd,tt1536410
Lucky Trouble - Der Trainer will heiraten,tt1682187
Massive Talent,tt11291274
Der Leichendieb,tt0037549
Hexensabbat,tt0076683
Once Upon a Time in Anatolia,tt1827487
Journey of Love - Das wahre Abenteuer ist die Liebe,tt1862079
South Park: Post COVID: The Return of COVID,tt16375288
South Park: Post COVID,tt15005868
Mad Circus – Eine Ballade von Liebe und Tod,tt1572491
Monsters,tt1470827
Brubaker,tt0080474
Bad Samaritan - Im Visier des Killers,tt3203528
Lucky Them - Auf der Suche nach Matthew Smith,tt1885299
Picknick mit Bären,tt1178665
Enemies - Welcome to the Punch,tt1684233
Villains,tt6378710
Master and Commander - Bis ans Ende der Welt,tt0311113
Out of Sight,tt0120780
Studio 54,tt0120577
Rocketeer,tt0102803
Englisch für Anfänger,tt2181931
Onibaba - Die Töterinnen,tt0058430
Thor: Love and Thunder,tt10648342
Erbarmungslos,tt0105695
Pinocchio,tt4593060
Mit besten Absichten,tt4501454
Metropia,tt0985058
Linda Lovelace - Pornostar,tt1426329
Michael Collins,tt0117039
The Lady - Ein geteiltes Herz,tt1802197
Loving Pablo,tt4682788
Briefe an Gott - Letters to God,tt1462054
Lucía und der Sex,tt0254455
"Good Night, and Good Luck.",tt0433383
Punch-Drunk Love,tt0272338
Obsessed - Im Feuer der Lust,tt3303730
Die Liebe ist stark,tt11365186
Cop Secret,tt13882736
You're Fired!,tt0362590
Grasgeflüster,tt0195234
Loft - Tödliche Affären,tt0926762
Meet the Rizzos,tt1174730
Die Novizin,tt11131464
Miss Daisy und ihr Chauffeur,tt0097239
"Mein Ein, mein Alles",tt3478962
Nurejew - The White Crow,tt5460858
Mavericks - Lebe deinen Traum,tt1629757
Blue in the Face - Alles blauer Dunst,tt0112541
Mike and Dave Need Wedding Dates,tt2823054
Augsburger Puppenkiste - Eine Woche voller Samstage,tt0281374
Ondine - Das Mädchen aus dem Meer,tt1235796
Streetfighters,tt0084867
A Crooked Somebody,tt5922124
Machtlos,tt0804522
Ein Tag in Middleton,tt1483324
Ein Sommernachtstraum,tt0140379
Rosa Luxemburg,tt0091869
Zurück aus der Vergangenheit,tt0089265
Liebe,tt1602620
Samaritan,tt5500218
Legendary - In jedem steckt ein Held,tt1563704
Get On Up,tt2473602
Geständnisse - Confessions of a Dangerous Mind,tt0270288
Joe - Die Rache ist sein,tt2382396
Bad Trip,tt9684220
Geliebte Jane,tt0416508
Cyntoia Brown: Die Geschichte einer begnadigten Mörderin,tt9050898
Nope,tt10954984
Natürlich blond,tt0250494
Windtalkers,tt0245562
Top Gun: Maverick,tt1745960
Zwei an einem Tag,tt1563738
Auf der Jagd,tt0120873
Red Eye - Nachtflug in den Tod,tt0421239
"Der Mann, der vom Himmel fiel",tt0074851
Lightning Bug,tt0363768
Gigantisch,tt1176251
Katzenmenschen,tt0034587
Dark Society,tt0098354
Der Manchurian Kandidat,tt0368008
Der schlimmste Mensch der Welt,tt10370710
Wolf Creek,tt0416315
Ben & Mickey vs. The Dead,tt2272350
Summer of Sam,tt0162677
Ferry,tt14217100
Poliezei,tt1661420
The Champ,tt0416185
Miracle Season - Ihr grösster Sieg,tt5427194
